vehicle_year,make,model,vehicle_type,license_number,vehicle_state,serial_number,usdot_number,empty_weight,registered_weight
2002,BMW,Z3,pellentesque,ZFA 9128,MD,DE68 9508 0430 0612 1231 32,8793314,6665,12604
2003,Mitsubishi,Eclipse,eget,EQM 3015,CA,SI96 3532 2562 5873 465,5113402,4251,14660
1986,Pontiac,Grand Am,est,MRB 8604,NV,LU97 746B HSHF ZY0Y WGFE,6621903,13351,16275
2001,Lotus,Esprit,in,YKP 1229,TX,DE37 9477 6478 9673 5377 47,4753778,11726,10489
2009,Mercury,Mariner,ut rhoncus,SJX 9032,NY,RS24 7297 3776 5254 4546 50,1564760,4423,18639
2012,Bentley,Mulsanne,et ultrices,PIT 5457,MN,IS51 8361 9257 1852 1378 9932 39,2443046,18778,17196
1992,Mercury,Cougar,ligula nec,TKL 1573,TX,DK97 3090 0110 3245 42,6958489,18927,7054
1994,Acura,Integra,ut nunc,ZMU 8458,AZ,AT89 9883 7087 6693 2666,3724618,10360,10161
1985,Ford,LTD,maecenas leo,HOT 8018,NY,CZ29 9492 6060 7152 9725 0864,7220550,11280,11071
1996,Mazda,MX-3,sit,VBZ 9094,DE,TN44 9518 3571 0727 2179 8937,4598212,19242,5059
2005,Maserati,GranSport,elit,DXO 8439,CA,LU51 381O 2IB6 DZHW 9L7Z,6941423,2074,11867
1998,Audi,A4,nulla,OTE 7869,FL,BG15 LNPY 5439 96O9 IEMM ZK,4271424,18168,16859
2001,Dodge,Dakota,libero nam,WVM 5483,MI,CY97 3905 1209 VFEI 5REG EQMD LMHW,0398737,15703,3312
2001,Chevrolet,Suburban 1500,sed vestibulum,HKT 2714,CA,PS60 SDZF NHTT XCJV IX2Y MUJH OZMW T,1596056,14748,7316
2008,Infiniti,G35,orci eget,CPD 2609,IN,NL13 MNPD 5533 8596 60,9041388,8298,5662
2004,Chevrolet,Avalanche 2500,cursus urna,CRA 1896,ID,SI83 2117 9402 5198 362,5405764,5491,13348
2009,Volkswagen,Touareg,nisl,DUZ 8589,CO,LU45 404U AAEH QUNZ 5PU5,2995850,8084,13598
2000,GMC,Yukon Denali,mattis,ZAR 1479,AL,BR87 4641 3560 5163 2675 6830 165G E,9342073,9814,7930
1989,Suzuki,Sidekick,libero nam,IHS 6204,GA,VG49 LRIS 3137 9482 1871 3269,4752616,17636,9471
1985,Saab,900,auctor,JCW 9405,NY,VG45 GIFD 8096 2413 9996 6865,8917720,16526,7759
2005,GMC,Savana 3500,vel accumsan,MJP 4252,CO,FO90 7289 0849 2718 60,4507213,17307,11920
2006,Ford,Freestar,fusce,LGR 6667,VA,SK76 7921 8610 5377 6895 3329,2468872,8018,16453
2004,Ford,Explorer,erat quisque,DFU 9332,DC,FR40 7273 3929 42OH 6FW2 428B 105,6361543,19631,4107
2001,Suzuki,Swift,vitae,NVG 7311,MI,SI03 8528 5310 2875 744,0714362,19323,2246
1998,Volvo,V90,nisi nam,DZB 0783,KY,DE91 4621 4785 5645 4187 94,3470319,13999,9662
1992,Dodge,Ram Wagon B250,vestibulum,NLT 3002,CA,TN18 3477 3034 3098 0606 8057,0326552,4113,4984
2007,Mercury,Monterey,in,JYR 5407,LA,ES83 5967 3774 3430 4019 5274,1536145,4146,4027
1990,Maserati,228,etiam,UIA 9184,VA,FR57 6408 1255 84GT F12D A4KV L06,2857316,10416,14900
2004,Chevrolet,TrailBlazer,ante,ZQE 4110,DC,AZ64 WZBZ WSFZ JBLP JYOS LBAG MUUA,9337630,19782,12722
2009,Mazda,Tribute,mauris sit,FKU 8486,CA,FR61 2682 6859 51WQ QUL0 ZEQP W16,7557821,9941,14562
2012,Audi,S5,in,QGN 8818,TX,FR69 0771 5427 88T4 ZTP4 LR88 Y47,7681133,12013,16813
2010,Scion,xD,parturient,DAN 2274,OH,IS85 1525 9139 7004 7431 9462 87,2453422,5483,15672
1994,Subaru,Alcyone SVX,et,LUZ 5260,DC,BE33 0621 8109 7949,8410831,18629,15618
2003,Chevrolet,Avalanche 2500,sit amet,RMO 0880,CA,FR73 8593 9944 662W 8ZMX LVI0 V17,3958302,19314,2815
1989,Pontiac,Firefly,blandit,NOQ 8942,CA,FR75 1359 0126 19JA 3LS3 TNSR K84,4082358,9842,13589
2011,Cadillac,DTS,dui luctus,VXJ 5943,VA,TN77 3820 9110 8436 0122 3814,6215572,17470,14720
2008,Dodge,Ram 2500,pulvinar nulla,YVK 6001,MO,MT19 DJKO 0967 9BCW VEKK 3VEW X6D3 I5K,3395551,6900,3619
2009,BMW,X3,non,UWA 5590,WV,RS56 5432 7818 3043 7853 89,7161391,7847,7094
1994,Chevrolet,G-Series G30,semper sapien,HFM 8654,MT,FR83 8436 8801 49MM MMS7 LR1Q 141,1168837,17291,16038
2010,Chevrolet,Traverse,sapien,BTE 4229,TX,LT18 9156 6870 0868 9962,9962214,15556,7911
2010,Hyundai,Genesis Coupe,dui,LTC 6800,NY,AE29 8897 7700 9707 7491 353,6467694,8601,13609
2005,Honda,Accord,in felis,MWR 1096,NC,AT34 6229 7323 7319 5145,9655206,17204,18103
1986,Ford,Taurus,curabitur in,RXC 9728,IN,SK79 6765 1564 5063 7618 8898,6050736,4217,5677
2000,GMC,Yukon Denali,lobortis,COA 6378,IN,GI95 MEWZ UPPT H58W LAIA UOY,4417233,7050,9309
2002,Suzuki,Vitara,tortor,UQF 4990,TX,TN94 4009 4743 0561 3999 2784,2847367,9407,8012
2004,Toyota,RAV4,mi,MWZ 0686,PA,AE83 2386 0888 2353 1141 207,7850692,6673,13423
1998,Acura,TL,ligula pellentesque,ASL 2189,CA,SM21 S974 4316 018A PIOR JTHY ZKB,6248355,6663,4809
2012,Volvo,C30,vel,DHF 6547,TX,BA44 3312 7284 1570 1909,0329817,12959,8729
2004,Oldsmobile,Alero,cursus,HAW 4476,CO,IL79 9965 6828 1797 7517 201,9710327,4215,4024
2006,Subaru,Tribeca,sed ante,NSP 5163,NE,GL45 9840 1874 9600 16,5417188,4690,9879
2004,Dodge,Intrepid,id,LTU 7781,IN,PT20 0530 2996 2376 5664 0674 8,6472300,4774,14158
1999,Mitsubishi,Montero Sport,nunc,NUP 6971,MI,MT45 LVKN 1152 2BHJ GOTH ZWZN PGMF HIO,2986389,6104,8761
1999,Saab,9000,rutrum neque,OMW 1688,NY,SK16 7668 3092 9159 5458 2198,0057011,8609,13817
2009,Nissan,Quest,quis,UIP 1476,NY,SA02 35HI XM2M 0RY5 IMFA VZFZ,7783360,14550,7424
2007,Toyota,Avalon,quis tortor,UOJ 4178,MO,LT48 9777 2430 5212 0932,3592828,16833,8568
2001,Lexus,IS,vivamus vestibulum,IZD 3710,NH,CR74 8830 5347 6742 9537 5,1249753,4344,10941
2004,Mercedes-Benz,SL-Class,pulvinar nulla,EVP 4746,NY,GB59 KLXK 7522 9163 9024 64,9786427,18198,7499
1996,Ford,Aspire,massa id,HCP 4941,DC,ES48 0758 5501 6983 9797 1560,1052888,17091,18835
1992,Ford,Festiva,aenean,HSP 9525,NC,NO18 9973 0537 785,0435927,2880,7998
1999,Ford,F250,luctus,FDU 0195,DC,NL77 UAES 4622 3703 71,9184615,16716,12977
1997,Lincoln,Continental,ante ipsum,BCZ 8704,OH,GE14 PK56 9882 1668 2969 68,1247666,17074,10589
1998,Mercedes-Benz,C-Class,ligula,ZED 1338,CA,PL37 3716 1951 8820 7747 2145 0069,1439763,16564,15029
2001,Buick,Park Avenue,in felis,KJB 6270,MN,LV41 PTWZ WMUD W8AQ BNG1 V,7826883,9820,14874
1988,Audi,5000CS,nam,IPM 6167,NC,EE30 5077 0694 3081 9704,0056151,2387,12232
1996,Mazda,MPV,vestibulum velit,VFG 5763,AZ,BR62 3657 5997 8841 7360 8153 270X D,4191397,9631,8069
2009,Volkswagen,New Beetle,proin,DLQ 9333,SC,SA78 53KO A0XE PQ4C CTSD ZMCP,7069396,7330,10009
2007,Hyundai,Tucson,consequat varius,JDV 8239,CA,KW42 IWGQ WODU XBEZ 2UDJ K0DW AJDG Q2,8688795,5933,5789
2009,Aptera,Typ-1,felis,HWZ 4679,CT,GI45 UBKA C8EN USBV SRRN V7Q,6663038,15066,15797
2001,BMW,X5,nulla sed,LBA 1422,MA,KW63 WNZB VCJU TBZQ YLFA PMN8 LAAV 0X,4248516,10065,11964
1992,GMC,Rally Wagon 2500,amet,URY 5142,NC,MR74 2781 5111 2961 5772 2390 389,6854166,16494,7216
2006,Mazda,B-Series,vitae,BXC 9263,CO,FR76 8375 6137 75CI 7CPH ZZFR N97,6197114,14467,2087
1997,Dodge,Viper,ante vivamus,BAV 9427,PA,RS50 0720 0179 1250 5273 37,4152910,15494,8759
2006,Mazda,MPV,nibh in,LUG 0006,WA,GE57 JF50 9830 9871 9724 72,2428534,8214,19000
2012,Porsche,911,mauris,OTF 7412,OH,LV72 AOWV IGSH HXMH HLVQ W,3082689,11168,17456
2008,Mercury,Milan,ut massa,ZHB 3187,IL,BH69 TGNA K3UC IWCW CG6Y LY,9185048,15352,4959
2000,Daewoo,Leganza,orci,YON 7454,SC,LI53 9828 4QHK JEGO N6QU O,1819694,9638,2010
2003,Pontiac,Grand Prix,mi,QKO 6243,DC,GE28 GC45 8501 5017 8476 57,2245400,16983,12395
1993,Mercury,Tracer,pellentesque ultrices,NSE 4996,TN,FI97 3098 8980 0350 71,2242842,4878,13682
1987,Saab,900,in,YNH 8199,CA,GL26 5776 6055 9569 79,2842007,12440,10211
1996,Mitsubishi,Mighty Max,porttitor lacus,PAX 3849,FL,RO66 VHES BKG0 ZLPH ODAD XD31,1189779,5429,15112
2001,Volvo,V70,orci,NDC 9522,TX,RO37 DVLN FI80 J7YL REML EQ4P,4163989,5712,2429
2006,Volkswagen,Rabbit,suscipit,QSW 7266,NV,FR09 3154 8521 80JN K19Z SA7D V11,7410368,16270,19927
1985,Buick,Skylark,dui,DNU 7882,KS,RS08 6712 5032 2209 4339 61,6886044,8203,16946
1986,Pontiac,Sunbird,bibendum,EXJ 9301,WV,MK44 0449 DMCI WH86 U20,6183798,18398,5239
2007,Chevrolet,Silverado 1500,nulla,IES 5516,FL,BA57 3135 3731 5770 5311,9666830,18710,13069
1990,Ford,F-Series,massa,GEZ 6439,FL,GI61 AVDY PR0D 1BAS Y7RP LAB,7907377,11727,2398
2007,Mazda,B-Series,dolor vel,MOG 1020,CA,CH47 6826 6DUP CYZ5 WVNP Z,0424629,16072,17566
1995,Volkswagen,Cabriolet,accumsan felis,NPZ 6936,OH,EE32 9312 8721 6601 5929,3313815,12468,10568
2013,Hyundai,Elantra,vestibulum velit,CVO 9938,NY,FI72 7324 7889 8132 57,0843705,5789,16555
2007,GMC,Savana,diam,TQL 5849,TX,MD47 EFHF YNNT HOFH OOC7 3HLF,1280063,11453,15571
1992,Oldsmobile,Bravada,velit,QST 3031,GA,AT44 8242 4348 1755 8738,2956512,12819,9328
1987,Ford,Ranger,sapien,AIW 3333,FL,RO09 BIJV RZPF XGDY 99OI HLXH,9211009,19081,3809
1995,Ford,F-Series,quis orci,WAP 6770,NV,GE36 DE60 0717 6169 4230 16,0037798,19338,8076
2010,Toyota,Sequoia,cras,WRZ 4663,NC,CH63 3482 8M0W 4FPS QFMP C,2352159,8958,5458
1992,Mazda,RX-7,risus,JVA 2061,MO,PS84 ALCV KOCB Q75P OLL7 RCMX Z6FC R,0942562,14442,12815
1970,Pontiac,Grand Prix,elementum,EDG 9522,IL,FR12 7414 0229 553D 9LTG YOHE I91,9148865,18571,12758
1993,GMC,Suburban 2500,nulla ut,CFH 5381,TN,DE22 6127 5154 6801 3188 61,5656809,4498,2822
1998,Chevrolet,Corvette,duis faucibus,ALI 8339,TX,DO71 R7NM 5285 4915 9022 9681 0452,6348931,17523,15907
1985,Ford,LTD,in tempus,RMN 5011,SC,TN55 8651 1242 5986 3597 5012,8321076,15493,2972
2011,Buick,Enclave,sit,BHC 0079,LA,AL39 0072 2120 RK0I OIAU U8Q7 IXTQ,7139284,3298,18797
2001,Mercedes-Benz,SLK-Class,diam,MIW 2239,FL,DE29 7866 3148 4151 5785 78,4476662,18053,5237
2000,Honda,Passport,pellentesque,SMT 7109,AL,EE78 0681 4805 6256 5299,6361901,18715,7480
2000,Pontiac,Grand Am,odio in,QGP 9924,MN,MK56 543W 2BAS SJXJ 760,2516182,6673,18211
2009,Ford,Expedition EL,odio,WHL 9036,MA,VG64 DYIG 6479 1394 1420 1304,1016983,11810,15320
1993,Dodge,Ram Van B350,mi integer,ZGS 0274,WV,MR98 4375 9795 0584 2069 7458 061,9394685,15630,6558
2010,Lexus,RX,iaculis diam,RIT 7961,CA,DK42 6404 8653 3214 55,9482292,9329,7642
1985,Mazda,B2000,fusce,LVC 3514,MN,AZ35 TMUD PL9A MJNB QAFV TYK9 AHKP,3776202,9888,15848
2006,Bentley,Continental GT,neque vestibulum,ZTB 1782,OH,GL08 3690 3996 8236 25,4088239,9781,11300
2006,Chevrolet,Cobalt,penatibus et,YPK 5351,MD,PT37 9543 0437 5093 5556 6684 5,2150009,14614,7211
2000,Volkswagen,Cabriolet,vehicula,VBX 7507,IL,GL14 0339 9612 7806 97,3122679,11172,12231
2005,Mazda,Miata MX-5,amet,BXA 0164,DC,LB09 6038 QK2F LJRQ VNUS L2LH 6ZUD,4365807,19903,8522
2009,Cadillac,Escalade EXT,eros suspendisse,THP 0350,AZ,LB21 6535 MYH9 V18L 25KP HX7O 5IXG,1405337,5501,4459
1997,Mazda,MX-6,eget orci,YHC 5012,AZ,SK45 9319 8118 0356 8941 1656,7384984,3177,4532
1994,Mitsubishi,Mirage,ac,WAP 6357,AL,NO59 6565 3397 595,6920298,6408,15079
2005,Chrysler,Town & Country,interdum venenatis,JCQ 8216,IL,GR66 3849 292F 5STX TAAX F9CI LR1,4247953,11027,11145
1991,Buick,Roadmaster,congue,YOW 1375,AL,KZ35 353Q BR6P GMYU 2RNZ,2799899,16290,5406
2005,GMC,Sierra 2500,amet,THU 6876,AZ,FR75 9550 2889 15FR BXNC Q01M O54,4772358,7386,10505
2009,Honda,CR-V,id,RHQ 4175,FL,SK44 8255 6911 9532 1525 0694,5513541,3155,11741
1997,Acura,SLX,platea dictumst,FIQ 7037,AL,PT50 6173 7164 2379 7213 2575 7,0218821,17108,4531
2009,Land Rover,Freelander,nulla sed,VCD 4377,CT,MR14 8120 5347 4746 5838 5319 811,1418958,14186,17718
2006,Mitsubishi,Outlander,scelerisque quam,XCS 7776,TX,FI98 3743 4984 0770 99,8170509,5340,6793
2007,Mitsubishi,Raider,ipsum ac,DHK 1850,MI,ME64 3068 3027 7834 9671 62,6743117,10865,3446
1988,Mazda,626,ridiculus,JVO 4348,FL,BA83 0828 5691 7181 3733,0270582,7452,7529
2009,Lexus,LS,sed,QXO 1251,CT,GR93 4716 076H PUUI XMA6 AJIA 35J,5295488,17610,5152
1998,Dodge,Ram 2500 Club,lectus,SDZ 6899,DC,GL15 2590 4053 0492 26,6559063,17961,15136
1994,Chevrolet,Corsica,dolor,BSE 7951,PA,MK58 334E RB4F AN62 S28,2073066,16087,14484
1977,MG,MGB,curabitur,HCX 8671,MI,SM65 T298 1391 929I 9L2H 1PFJ MMO,2679391,18777,9405
2002,Volkswagen,Passat,libero,TGV 1818,TX,FR79 4497 6918 31HI 3MAI E6X1 V11,6184698,10461,11728
2005,Chevrolet,Cavalier,ac,TIF 9770,WA,LT62 7247 1771 4764 0582,6782709,15352,17822
1988,Volkswagen,Cabriolet,accumsan odio,QEP 8238,OK,IL55 6641 5644 1458 6918 823,1067417,7537,3780
1996,Eagle,Vision,fusce,DOA 5244,KY,PL29 1278 5562 4580 8082 1463 2621,9025134,13463,17863
2010,Maybach,57,lorem vitae,QWZ 8637,NY,FO90 6304 3623 7997 76,8767150,12173,5479
2006,Porsche,911,luctus et,HAS 0449,IN,EE85 9500 8590 9135 3556,3144436,7492,12913
1966,Ford,Falcon,pede,MSO 0514,GA,TR94 7693 3XE6 69K0 KUEB 1OI6 KH,2195780,17086,18637
1996,Lexus,LS,mattis,VKA 4017,NY,GB29 IYVP 6354 9532 8928 61,7086488,11737,12602
1989,Subaru,XT,habitasse,IZD 8539,AR,FI89 8521 7755 3122 01,8178332,7205,16205
2004,Jaguar,S-Type,nibh quisque,EQV 2657,TX,FR19 4561 9039 02SU VVEY CTP9 R83,7214076,7696,9300
2009,Honda,Ridgeline,justo,OKJ 3580,NY,DK19 4860 3791 9888 70,9628272,16035,16018
1994,Toyota,Corolla,fermentum donec,FVQ 2429,WV,LT92 5569 5895 7717 7919,9436796,3949,8524
2001,Lamborghini,Diablo,natoque penatibus,BGP 4006,CA,FR24 1122 4712 04E7 YOOH JKUP U09,8604162,14418,15677
1969,Pontiac,Grand Prix,sit,CNO 1273,IN,BH58 VMUP GN6X VK93 NW1C VO,4082992,5873,16366
1996,Oldsmobile,Achieva,morbi non,TEQ 0121,FL,AT63 9221 3996 3635 0138,1613234,15926,16260
1990,Volkswagen,Golf,semper,SET 6892,IL,SA85 42IE I8GI 0PTC 29TP TVHI,3219320,18886,9918
1997,Honda,Accord,risus semper,NAK 0481,PA,FR19 3702 5752 56PK YUID RBY6 D67,8879308,16853,6158
2007,Mazda,Mazdaspeed 3,luctus rutrum,IXL 5289,CO,GB51 WNHX 2786 5877 5462 62,7721737,19137,18717
1988,Ford,Courier,nunc,GYV 5164,TN,AE59 6858 4357 5388 5106 767,3465689,16397,7810
1993,Chevrolet,Blazer,lorem vitae,VYP 6234,CT,GT04 B9FH IAOM 2DNB KHOU TMET XEPA,5251549,7402,19340
2006,Chevrolet,HHR,morbi,OLK 4028,PA,MU47 KTTG 0693 1962 1879 8336 674G EZ,1208631,6286,4044
2004,Suzuki,Swift,aliquet massa,EWJ 2761,VA,ME43 4789 8956 6179 1255 09,8464874,9016,12691
1995,GMC,Rally Wagon G2500,nulla sed,HUE 0501,AR,CZ70 6924 3580 8091 4549 0794,6032212,13253,13016
1992,Buick,Regal,aliquet,OYD 6627,IL,MR35 6532 5329 1035 8177 1610 573,1742437,2149,19994
2007,Bentley,Continental GT,at,LQO 8385,GA,FR82 6173 8534 58AI RB5C TL2O F46,3266709,10925,12113
1992,Subaru,Alcyone SVX,arcu,TVF 3195,TX,GE23 OV94 8307 7951 2607 09,6248781,17509,9306
1987,Buick,Riviera,pellentesque volutpat,ODS 7707,CA,SE34 2166 6755 9045 2338 0867,6670967,10504,5556
1993,Saab,9000,eros,FXS 0176,NY,GL49 1285 0192 2133 14,5002374,18756,4822
2011,Mercedes-Benz,GLK-Class,sem,MDB 0506,CO,FR63 4769 0248 89GC OKXR UFJT Z65,4828107,18515,15558
1991,Audi,200,at feugiat,VZW 5824,FL,KZ20 972V IOW0 1VE3 R5AZ,5058994,7436,6910
2004,GMC,Safari,dolor quis,VKB 9111,OH,CZ02 9945 1885 0205 7339 5036,0614666,3633,9865
1996,Chrysler,LHS,justo,JTF 0383,NY,IT34 Z614 2126 464M K07P A67M UFA,5524040,3283,12409
1995,Plymouth,Neon,nibh,WMQ 8529,CA,SI40 7378 9376 9644 955,7114012,11237,13151
1994,Mitsubishi,Chariot,sem,NPJ 3362,PA,AE39 5378 2915 1458 5750 441,3270152,15642,18990
1999,GMC,Suburban 1500,consequat,XUD 8854,VA,FR09 6608 2040 99KY R4DJ CF71 413,5820598,4073,6318
1995,Ford,Club Wagon,quisque erat,DZJ 7271,NY,MK95 602E U5GH S0TQ K02,9337865,15206,12317
1986,Mazda,Familia,risus,OEX 9684,TX,FR77 2328 6427 47BZ G4LF C1H7 234,3900399,18481,10599
1992,GMC,Sonoma Club,nullam varius,TNU 9580,NE,MK83 314Z 5DDX WWUE U20,4463062,13530,12235
1994,Mitsubishi,Mirage,nunc nisl,ICD 6263,TX,KZ55 2575 OIP2 94A7 8FXJ,6566818,18865,19072
1997,Chevrolet,Tahoe,aliquam convallis,IRS 0101,CT,PT56 8194 9597 7530 8573 2775 1,0134972,17486,11393
2008,Volkswagen,Rabbit,non mattis,TYX 0896,TN,NO19 3228 9305 087,7461624,3688,8030
2005,Ford,E-Series,nam,RKC 0983,CT,MT72 YVIR 6347 2VLO YHJ8 AHI8 4QUS A4V,1457690,7128,9916
1990,Mazda,MPV,porttitor,EGD 4062,KS,PS15 CHIY WZ30 EZAM EMMD Y4ZI ZLII F,2933539,4704,19792
1957,Chevrolet,Corvette,quam,QVX 4573,VA,FR34 6941 4006 62UM TDZD NLVR Q14,2532056,9846,13383
2001,Kia,Sephia,mauris,XOF 6306,MN,BR38 8762 3784 5926 1467 0887 925Z 0,5897954,4836,2325
1993,GMC,2500,at,WDT 1290,HI,FR83 6535 9927 66UK PLC6 BHXI G41,0990826,5138,10211
1998,Infiniti,I,pede justo,RHE 0031,MT,AL07 3126 1614 7V5A JG0H IDT7 I6Y9,9461556,13326,14284
2004,Mercury,Sable,donec,XQL 6979,NY,LB35 5976 OUR3 BFKN TGY8 LPAA ESQE,2227815,16984,9505
2010,Ferrari,599 GTB Fiorano,proin,WNE 9433,MO,IE56 QWAZ 0826 3478 4831 70,7744213,10740,11820
1985,Pontiac,Grand Am,purus aliquet,BTO 9748,IN,ME84 1743 1462 9316 0154 28,6370061,6059,18478
1991,Saab,9000,massa,LUG 2817,FL,CR04 3815 3553 0617 6717 9,9433143,17781,15793
1998,Lincoln,Town Car,tellus nisi,XKL 7792,CA,MK46 231J JVAC IWFN S05,3170317,16400,19844
2005,Suzuki,Swift,tristique tortor,AOP 2595,CA,HR29 6184 0960 6553 8463 2,4662969,18458,3569
1994,Ford,Lightning,quam,CPY 0442,MO,MU47 TALA 9030 5305 1696 4064 465D SX,5629560,12309,16759
1987,Buick,Century,sed sagittis,ULZ 9679,CA,RO16 DFOR KEID 1CVX L8KR Q2Y1,1236732,18916,2080
1991,Ford,Bronco,nunc,QKT 1233,SC,IS12 5519 4920 3459 1425 3828 84,2056772,14000,17634
1992,Cadillac,DeVille,bibendum,ZMY 3868,NY,FR84 3439 9475 84U2 TWOD ZGTP V30,6587535,12758,9588
2006,Porsche,Cayman,et,BVZ 5664,CO,RO65 FPKE BN20 2QVW I6ZU CNAP,6035930,14074,18384
2007,Hyundai,Sonata,eget,TZW 7694,TX,PL44 6464 4793 9074 5703 0087 6563,0234024,9428,19313
2003,Ford,F150,lacinia aenean,NLM 1313,NE,FR24 4386 8568 096K G2HJ ZHXK P46,7144836,18993,18385
2005,Audi,A8,lacinia,PWF 6936,FL,MU52 XTIE 8326 6638 6946 6355 816W ZM,1609001,16765,19611
2003,GMC,Yukon,vivamus vel,AWG 0214,CA,BG72 EMCI 2321 12YS JARS 63,2048685,8788,10710
1967,Ford,Mustang,orci eget,XKU 9872,MD,FR11 6576 8913 66AE UHP8 10PS F14,7096683,6928,5565
2007,GMC,Savana 2500,et,MFA 5076,DC,GE32 QY94 2434 2599 1727 38,3099607,6600,3452
2012,Bentley,Continental GT,velit donec,TQL 9219,CA,EE59 2599 4043 0278 3052,0841269,3565,3234
1999,Nissan,Maxima,curae,EXG 3036,VA,GB36 OHCD 6391 8698 4630 48,5608057,11075,16767
2005,Chevrolet,Colorado,id,JOY 5527,CA,MR84 1708 6641 0633 1999 8924 170,0581877,16039,3910
1995,GMC,Rally Wagon G3500,sit,MLH 8016,VA,LB75 7999 3YCH ZIR2 UZL1 VZIZ LBS1,3138716,14528,3744
2008,Dodge,Ram 1500,id,QYE 8420,WI,MC06 6344 5105 83LD 6MXN ZGAU T86,5020025,14417,8910
2005,Cadillac,CTS,nulla,EZH 5332,MO,IT10 W376 5317 753B THIT UQ9M 858,6960990,15791,18319
1996,Buick,Regal,lacus,EIR 9369,CA,FR90 1555 5564 13TQ NAIK CSLZ P53,5940258,2141,10577
2001,Dodge,Ram 1500 Club,id,BRP 3896,MI,FI22 6204 5306 2940 19,0904062,19652,5778
2002,Saab,9-5,tortor,PJC 6465,MN,SI21 0886 9264 3264 966,4359357,3695,18720
1993,Dodge,Stealth,diam,DNX 5676,TX,MK98 737U DGMI Q5PD F59,2041426,17897,3542
1994,Audi,riolet,purus,RHX 3384,NY,PK05 HYTV CVRA KXEP YJFV HYRB,2959683,7559,12733
1999,Pontiac,Firebird Formula,rutrum neque,EGW 0048,OH,RS67 6931 1614 5967 5263 99,9163007,8999,10228
2000,Daewoo,Nubira,tellus,JSF 3904,FL,GE52 DA46 8607 6016 0526 85,3675660,6511,12566
2003,Toyota,Solara,faucibus orci,ZCF 8785,TX,PT45 5554 7614 2428 8003 2533 7,1433515,7395,8562
2006,Volkswagen,Rabbit,ac tellus,FCL 5647,NY,FR76 5269 0867 97CT MLBL BOME Q55,2410873,4419,18867
1986,Mitsubishi,Tredia,ultrices,PBT 8523,NE,IS90 9505 9124 3191 4932 7621 00,5241591,16977,6116
