make,model,trailer_type,serial_number,license_number,trailer_state,trailer_description,empty_weight,registered_weight,regulation_weight
Chrysler,LHS,arcu,SI22 8616 6322 2775 934,897 HXR,TX,Chrysler-LHS License #: 897 HXR,18483,10685,19808
Chrysler,Imperial,consequat lectus,LV29 BCHA AOU8 P9KT QQAA K,132 FNP,CA,Chrysler-Imperial License #: 132 FNP,15696,10647,3570
Mercury,Grand Marquis,magna bibendum,PT55 3394 4437 8425 3859 4789 2,105 XLG,AL,Mercury-Grand Marquis License #: 105 XLG,10219,19392,3261
Oldsmobile,Aurora,parturient,NO53 3891 8526 102,890 WMT,FL,Oldsmobile-Aurora License #: 890 WMT,5807,12399,18583
Toyota,Tundra,pede ac,SA49 865W 6GHG DSSJ 1WQ9 9EEC,138 MLC,CA,Toyota-Tundra License #: 138 MLC,4186,16994,19411
Land Rover,Discovery,amet erat,GI69 KRYK JXJQ JSTA I6N9 84B,730 JPX,NV,Land Rover-Discovery License #: 730 JPX,17362,14711,11719
Mitsubishi,Lancer,scelerisque,DO60 UBSE 5882 1135 6799 0613 9512,693 CFJ,IL,Mitsubishi-Lancer License #: 693 CFJ,7074,18124,12363
Mercury,Tracer,nisi nam,FR02 5229 6257 65MA NWHT ZJ2K X72,443 MXO,DC,Mercury-Tracer License #: 443 MXO,6305,15098,6179
Lexus,ES,consequat lectus,FR73 5996 3323 98RT WZDF MWXV A98,297 HOY,NC,Lexus-ES License #: 297 HOY,5561,7288,13825
Bentley,Continental Flying Spur,quis,GE54 DL43 9817 1475 4359 31,286 CKV,IL,Bentley-Continental Flying Spur License #: 286 CKV,11240,8687,2510
Hyundai,Tiburon,luctus rutrum,MD66 K8VK 68JQ EEYS Y2CL MBUJ,683 FMH,MN,Hyundai-Tiburon License #: 683 FMH,8586,15743,14895
Chevrolet,G-Series 2500,eget massa,SE52 4303 8786 2170 2823 5699,646 YIP,NY,Chevrolet-G-Series 2500 License #: 646 YIP,13834,16319,17798
Dodge,Ram 1500 Club,est lacinia,TR29 7754 90AX IJU2 0NSC T7OW ST,109 SYG,CO,Dodge-Ram 1500 Club License #: 109 SYG,7366,3165,18067
Mazda,MX-6,sit amet,IL44 1485 3348 7148 0770 304,886 ZRY,IN,Mazda-MX-6 License #: 886 ZRY,8168,10135,17231
Mercedes-Benz,300TE,potenti in,AE32 1185 5294 6755 9432 042,260 BIM,LA,Mercedes-Benz-300TE License #: 260 BIM,12672,3162,19313
Lincoln,Navigator L,eros elementum,PS33 QDOS VVMV VKMG QHME IX8H B7HP O,765 YWD,DC,Lincoln-Navigator L License #: 765 YWD,8522,5870,15087
Land Rover,Freelander,in faucibus,SM78 V185 4960 545N VQML NEKO HEH,221 OYT,NH,Land Rover-Freelander License #: 221 OYT,2933,4894,10237
Dodge,Dakota,quis,CZ76 2886 3339 2791 3724 0835,071 YPD,WA,Dodge-Dakota License #: 071 YPD,13939,6733,19615
Honda,CR-V,magna vulputate,LU70 393Z AZ95 ELZE 7FEX,677 CSJ,NE,Honda-CR-V License #: 677 CSJ,16134,11040,4784
Volkswagen,New Beetle,non velit,BG84 SBMG 7091 91MX 7BSO EP,229 GTP,FL,Volkswagen-New Beetle License #: 229 GTP,3219,10714,7978
Ford,Mustang,at vulputate,MU84 YKUA 6776 0800 6971 4752 484C HM,414 OVJ,IL,Ford-Mustang License #: 414 OVJ,9900,4429,19961
Cadillac,Escalade,sollicitudin ut,TR23 1879 6YX4 6BEM 3VQM KKC9 QT,813 WUR,AZ,Cadillac-Escalade License #: 813 WUR,14156,2328,12468
Mazda,B-Series Plus,sagittis dui,AZ03 RJKI 69BD YB6L JKFV 2ZN6 DCGL,983 IPG,IL,Mazda-B-Series Plus License #: 983 IPG,3383,6775,2763
Dodge,Ram Van B150,ultrices phasellus,RO32 UYYB FTKB HB2C TI8D TOSH,735 OWJ,OK,Dodge-Ram Van B150 License #: 735 OWJ,7347,19688,16220
Mitsubishi,Raider,eleifend,FR52 0876 2453 01XS EK61 ZFPH H54,891 QYD,NY,Mitsubishi-Raider License #: 891 QYD,18564,2395,5138
Oldsmobile,Silhouette,mauris,HR02 2074 5173 1371 5610 4,971 KVB,WA,Oldsmobile-Silhouette License #: 971 KVB,14569,11742,10478
Saturn,Outlook,placerat ante,RO70 TNSU EXUF WYIE 2AAI NDRA,469 OIE,VA,Saturn-Outlook License #: 469 OIE,9853,15709,14561
Ford,Ranger,in tempus,RS95 8949 5777 5919 0213 77,469 SAM,TX,Ford-Ranger License #: 469 SAM,17995,18185,10167
Dodge,Dakota,sem praesent,FI87 9368 0558 5088 97,803 ITN,FL,Dodge-Dakota License #: 803 ITN,14059,17538,18790
Toyota,RAV4,dapibus duis,BE95 5632 5152 3042,512 VGA,DC,Toyota-RAV4 License #: 512 VGA,8556,4116,6372
Cadillac,DTS,dolor vel,FR55 2397 9277 99BL IO1H 5CJ5 O22,751 KDX,FL,Cadillac-DTS License #: 751 KDX,8057,16670,12383
GMC,Savana 2500,ante,IS05 4919 2509 7844 9796 1616 26,286 PTM,TX,GMC-Savana 2500 License #: 286 PTM,10738,6827,11410
Eagle,Vision,porta volutpat,NL40 KCTS 0772 6891 21,365 IAP,NY,Eagle-Vision License #: 365 IAP,12480,15600,13789
Mercedes-Benz,S-Class,eleifend donec,GR86 0834 405K BQQY RSIA 0IBE D1C,971 OHU,TX,Mercedes-Benz-S-Class License #: 971 OHU,17322,2872,3151
Infiniti,Q,cursus,PL02 2992 6495 3605 2963 6365 7192,457 HSO,NY,Infiniti-Q License #: 457 HSO,15850,12564,9456
Oldsmobile,Cutlass,pulvinar,FR83 5463 6143 14GQ OFSL 9CFJ B38,603 KQC,FL,Oldsmobile-Cutlass License #: 603 KQC,11589,15133,15487
Chevrolet,Suburban 1500,donec pharetra,FR27 0849 4607 12ZN CJPB 5X5L N29,855 RNF,GA,Chevrolet-Suburban 1500 License #: 855 RNF,19898,7286,7007
BMW,650,venenatis non,FR38 7688 9036 91QT 4Y4K B9LA U85,267 WPU,NY,BMW-650 License #: 267 WPU,3134,14389,14458
Ferrari,F430 Spider,condimentum,DK73 3039 9935 7771 85,367 TUE,TX,Ferrari-F430 Spider License #: 367 TUE,12292,7927,15379
Mercury,Cougar,bibendum morbi,CH03 7163 60SJ HFE5 CORS Z,380 IPW,CA,Mercury-Cougar License #: 380 IPW,15363,9013,14896
Infiniti,G35,posuere,VG03 RXCM 9137 4886 2273 2263,348 VWD,VT,Infiniti-G35 License #: 348 VWD,13426,10429,19522
Dodge,Avenger,blandit ultrices,EE92 6896 2653 7298 6186,109 HNO,OR,Dodge-Avenger License #: 109 HNO,9920,3041,7167
Acura,RL,diam,PT08 9212 1943 3282 3791 5293 3,305 KZX,MO,Acura-RL License #: 305 KZX,15079,7648,8371
Geo,Tracker,justo nec,LI88 6470 1ILG M4OH BV32 J,958 PSC,UT,Geo-Tracker License #: 958 PSC,13763,6611,18491
Infiniti,G,ipsum,LI86 6142 4OGQ HX2U NRNT V,017 DUI,NY,Infiniti-G License #: 017 DUI,13691,15477,4504
Chevrolet,Corvette,mattis egestas,FR53 2332 7494 80FP OMNY 6XO9 Y73,094 XIE,GA,Chevrolet-Corvette License #: 094 XIE,6473,12787,10295
Chrysler,Town & Country,rutrum,MR07 7681 8905 2800 3100 7778 389,011 GUW,CA,Chrysler-Town & Country License #: 011 GUW,4973,17820,18722
Chevrolet,Impala,ullamcorper augue,RS38 3002 7777 9793 0754 38,606 IMD,IL,Chevrolet-Impala License #: 606 IMD,2515,10323,18261
Volkswagen,Passat,volutpat eleifend,DK21 3960 8208 9248 30,039 NWG,TX,Volkswagen-Passat License #: 039 NWG,13944,12093,14210
Toyota,Echo,mauris eget,FR09 5041 1380 29UR XPCM 42UF 325,291 QYL,CA,Toyota-Echo License #: 291 QYL,13520,9273,5210
Bentley,Mulsanne,diam neque,SM38 C394 4502 105I HP7J LLWE NHJ,661 CMQ,UT,Bentley-Mulsanne License #: 661 CMQ,17707,13728,11960
Nissan,Sentra,vel est,RS65 2066 4608 6791 4156 03,902 QKC,CA,Nissan-Sentra License #: 902 QKC,3153,18770,6029
Toyota,RAV4,tristique in,FR71 6688 9042 38PI BXFR BNSC L59,663 XFB,TX,Toyota-RAV4 License #: 663 XFB,19741,19468,7243
Toyota,TundraMax,tristique,FR21 9174 6967 76TT B9K0 BABW K76,633 EJW,OH,Toyota-TundraMax License #: 633 EJW,18370,3241,3920
GMC,Savana 1500,at,SA32 91BJ RU8F URXX ES2G WZV1,136 RMF,TN,GMC-Savana 1500 License #: 136 RMF,3329,12529,9909
Kia,Sorento,ligula suspendisse,FR36 6875 0322 63FU CVTO ICOG O79,674 WVA,LA,Kia-Sorento License #: 674 WVA,15075,4522,19565
Ford,F-Series,montes,TN50 2871 1707 1947 8976 4853,188 JXW,FL,Ford-F-Series License #: 188 JXW,6998,11830,6269
Nissan,Murano,cras non,FR37 3306 8780 772S 2MDF UXW2 H56,333 CEI,CA,Nissan-Murano License #: 333 CEI,8611,9729,17204
Pontiac,Grand Am,id luctus,SA30 58SQ BWY4 1BVB ID3X KJRR,455 YEK,TX,Pontiac-Grand Am License #: 455 YEK,9017,7150,10936
Nissan,Xterra,neque duis,FR16 7246 5526 22Y0 R7BA FRTQ C78,105 TVZ,CA,Nissan-Xterra License #: 105 TVZ,10579,15474,12241
Toyota,FJ Cruiser,sem sed,NO27 2288 0177 970,439 LWG,TX,Toyota-FJ Cruiser License #: 439 LWG,4200,2109,2792
Mercedes-Benz,W201,sem fusce,LI60 6139 2XVN 1ZPY 0SMX Z,562 ESV,NY,Mercedes-Benz-W201 License #: 562 ESV,8747,15675,9500
Plymouth,Neon,lacus morbi,HR61 7502 1673 0019 1875 0,433 OIH,GA,Plymouth-Neon License #: 433 OIH,12096,18467,11299
Mitsubishi,3000GT,vitae,RO18 GVNH YV3P UDKH Z2YE GUL4,053 PIC,CT,Mitsubishi-3000GT License #: 053 PIC,10169,17733,16987
Nissan,Xterra,vivamus,PS59 EZGC JQA2 XAAS AIMU 10C8 CWZO B,432 QDT,IL,Nissan-Xterra License #: 432 QDT,8479,4603,4669
Acura,NSX,porttitor,LI33 1004 8PLO II3Y XC7U 8,604 AWX,PA,Acura-NSX License #: 604 AWX,4674,15028,4767
Volkswagen,Touareg,nibh,MK98 0379 9L4T 8HKR A67,727 EOC,OK,Volkswagen-Touareg License #: 727 EOC,3748,3907,16829
Chevrolet,Avalanche,sem,NL79 YAML 1633 2809 83,549 LAT,NJ,Chevrolet-Avalanche License #: 549 LAT,11750,19099,19256
Suzuki,Daewoo Magnus,vulputate nonummy,FR77 5001 6339 91UA N1CJ VSZ9 570,523 FAU,TX,Suzuki-Daewoo Magnus License #: 523 FAU,17054,16182,6445
Volvo,850,amet,EE29 6928 2317 5425 1487,992 XCK,CA,Volvo-850 License #: 992 XCK,11404,14796,14909
Dodge,Dakota,fusce,CR21 1229 4895 9814 8192 8,906 KCN,GA,Dodge-Dakota License #: 906 KCN,19951,6745,3886
Mitsubishi,3000GT,suspendisse,FR23 3998 2704 54EZ HOV0 ELWZ W26,620 XAJ,CA,Mitsubishi-3000GT License #: 620 XAJ,16168,10786,13825
Dodge,Caravan,ante ipsum,FR35 0394 5809 49SL 9R2J FAJX U24,939 HKS,MN,Dodge-Caravan License #: 939 HKS,8150,5490,2107
GMC,Savana 2500,mauris enim,FO74 6319 0605 7026 26,099 EMR,MD,GMC-Savana 2500 License #: 099 EMR,11677,13216,14807
Buick,Roadmaster,rutrum at,VG09 QRZU 5267 5918 0274 0128,633 SRJ,OH,Buick-Roadmaster License #: 633 SRJ,19003,4737,4853
Pontiac,Trans Sport,sed tincidunt,KW06 DUBC RT4Y GEGH UD8E OJGO CG27 SM,087 NLK,MI,Pontiac-Trans Sport License #: 087 NLK,7700,16011,8238
Jeep,Liberty,non sodales,MU22 TFUS 3194 7478 9582 6193 788Y DB,896 KRF,CO,Jeep-Liberty License #: 896 KRF,15724,9424,11473
Toyota,Avalon,gravida nisi,SE95 0298 8813 3901 4604 3883,999 LTS,CA,Toyota-Avalon License #: 999 LTS,4887,11733,7270
Toyota,Corolla,justo sollicitudin,FR67 2167 8943 20DI HXPA 2N1Y M21,602 UOZ,CA,Toyota-Corolla License #: 602 UOZ,15535,8146,12604
Nissan,Maxima,duis,VG65 CGFK 1467 6431 0768 1174,195 VDR,NV,Nissan-Maxima License #: 195 VDR,4018,14848,2776
Kia,Soul,et,KZ92 312L 6IJH 47B6 MPKB,737 LUX,NY,Kia-Soul License #: 737 LUX,5336,6973,11654
Mercedes-Benz,SL-Class,bibendum,PL10 6999 7826 9372 7504 2776 3559,966 TUI,FL,Mercedes-Benz-SL-Class License #: 966 TUI,13578,11404,16580
Mitsubishi,Galant,integer non,CR40 2073 8596 3472 2984 2,095 SMD,TX,Mitsubishi-Galant License #: 095 SMD,5789,6916,15236
Subaru,Brat,mauris,AT47 8047 0497 9507 4226,303 UBQ,TX,Subaru-Brat License #: 303 UBQ,12877,13984,17941
Lexus,SC,dapibus dolor,IT82 D927 4467 584C 6SET O5BI MJ9,969 PTL,NY,Lexus-SC License #: 969 PTL,17928,19678,19153
Ford,Ranger,vivamus,BH11 HJID 2LCY P6JP 9YUH QS,071 RMA,CA,Ford-Ranger License #: 071 RMA,14540,18077,18816
Suzuki,Aerio,dolor,NL49 SQOQ 5160 8744 64,570 QYM,NY,Suzuki-Aerio License #: 570 QYM,19560,15813,8761
Pontiac,Grand Prix Turbo,etiam,KZ72 211Y XHOJ MQRE GUEW,030 XVN,KY,Pontiac-Grand Prix Turbo License #: 030 XVN,6182,7421,7554
Infiniti,G,vulputate vitae,AD51 7989 5275 MNZV SH1L GHEG,391 DRY,FL,Infiniti-G License #: 391 DRY,11050,2266,10723
Ford,E-Series,cubilia curae,FR43 6836 8646 29YM FDXV 42CQ A22,115 DAT,FL,Ford-E-Series License #: 115 DAT,6944,12822,6806
Ford,Club Wagon,tortor quis,FR74 0332 2195 32BW 7U8Y G8TK 195,407 ANO,MA,Ford-Club Wagon License #: 407 ANO,11630,19806,13430
Hyundai,Elantra,est donec,PK54 ZWRS PRMS DA2O FINU T0HY,523 TAW,TX,Hyundai-Elantra License #: 523 TAW,8576,8994,4355
Chevrolet,Aveo,sagittis,RO83 EUWU FX69 6NFQ VGFH RH6X,990 FOY,VA,Chevrolet-Aveo License #: 990 FOY,19819,9507,3465
Chevrolet,Monte Carlo,sapien,FI70 9839 9398 2090 32,550 KTG,CA,Chevrolet-Monte Carlo License #: 550 KTG,19560,4264,7706
Volvo,S70,elit sodales,KZ59 590B KS22 XSBV CNW3,111 REI,CA,Volvo-S70 License #: 111 REI,18692,2751,14226
Volvo,S80,id,CZ46 8927 7501 3378 6789 0000,729 LNF,NY,Volvo-S80 License #: 729 LNF,3181,19170,19752
GMC,Sierra 1500,vel augue,TR72 4259 4J71 HB2V X1ZT PTWN GW,278 JWX,IL,GMC-Sierra 1500 License #: 278 JWX,6104,14533,5901
Nissan,Cube,hac habitasse,IS67 1160 3278 2449 0812 8625 78,353 DJH,KS,Nissan-Cube License #: 353 DJH,11114,8449,3767
Chevrolet,Venture,tellus in,FR67 9872 9374 69C0 QCC2 RFNO Z48,148 CXE,TX,Chevrolet-Venture License #: 148 CXE,19828,11571,18969
Dodge,Magnum,arcu adipiscing,CR90 0947 7064 9637 3321 1,178 PNT,KS,Dodge-Magnum License #: 178 PNT,7801,18911,17680
GMC,Suburban 1500,in hac,DO49 VC2Q 0088 4994 3706 7727 5549,193 QZJ,NE,GMC-Suburban 1500 License #: 193 QZJ,5373,8772,16182
Toyota,Corolla,nulla neque,MT10 QIZY 2063 58OV SEC2 BRRA SWVD RMM,545 PYA,IN,Toyota-Corolla License #: 545 PYA,11110,17599,18830
Oldsmobile,Aurora,at nulla,GI76 CPJE 03RT UQKP DYZA 9XD,832 UVJ,WV,Oldsmobile-Aurora License #: 832 UVJ,7617,18956,8035
Dodge,Colt,in congue,GL46 1526 7932 5481 95,608 LAS,MT,Dodge-Colt License #: 608 LAS,14279,11970,12321
Cadillac,STS,id,GT08 XXF7 4FOT JVCT 6JTM N4PZ 4BHV,213 ETI,NE,Cadillac-STS License #: 213 ETI,12301,9444,17176
Acura,TL,vitae consectetuer,LT82 5209 2113 1876 9814,890 NPW,TX,Acura-TL License #: 890 NPW,3499,13198,19425
Mercury,Mystique,congue vivamus,AD53 1977 5436 DOQI OEO6 FOTC,556 OKT,MN,Mercury-Mystique License #: 556 OKT,2031,15388,18242
Panoz,Esperante,orci,FR51 4637 2506 35S5 NCZS AY2K P48,175 FGA,IA,Panoz-Esperante License #: 175 FGA,15380,11190,9227
Ford,Econoline E350,donec,BH45 GVDD SH5K UXTQ 4Y9U FL,490 PKX,NY,Ford-Econoline E350 License #: 490 PKX,2322,11695,17498
Suzuki,Aerio,amet,IS39 1786 4355 3528 4600 9693 66,957 LKY,NJ,Suzuki-Aerio License #: 957 LKY,17303,6920,14960
Nissan,Murano,faucibus,FR51 5402 6530 4560 2BNK 7EFO X19,247 TPA,NC,Nissan-Murano License #: 247 TPA,10081,3981,13497
Volkswagen,Cabriolet,sagittis,MT50 TNAF 6970 2JV6 PP3M CQYG WW0U ORT,585 DEV,FL,Volkswagen-Cabriolet License #: 585 DEV,12288,15449,8351
Cadillac,DeVille,curae duis,FR96 1998 9847 51OK SZMJ B2HR P89,537 LKW,TX,Cadillac-DeVille License #: 537 LKW,7706,19623,7082
BMW,760,ultrices posuere,MU57 XWCH 0427 8486 4172 0031 628O AB,956 XJL,HI,BMW-760 License #: 956 XJL,3893,15822,15053
Rolls-Royce,Phantom,urna ut,FR67 9012 2082 40ZY OQ7J 4N4K L55,322 TSR,FL,Rolls-Royce-Phantom License #: 322 TSR,12300,14977,15577
Chevrolet,G-Series 3500,platea,AE13 0659 9403 1633 8642 739,485 HTO,DE,Chevrolet-G-Series 3500 License #: 485 HTO,7414,17911,11245
Porsche,Panamera,vehicula condimentum,GE48 GV05 3192 9430 7210 24,009 PNA,TX,Porsche-Panamera License #: 009 PNA,5564,2558,17957
Mitsubishi,Lancer Evolution,in,LB71 8244 WUIX ZTLY XRE9 JT4V SF2O,613 TFP,CO,Mitsubishi-Lancer Evolution License #: 613 TFP,14158,17394,12899
Saturn,Astra,varius ut,FR57 5474 3269 12RF PPJA VXSX K31,358 MLU,MN,Saturn-Astra License #: 358 MLU,2982,18021,11851
Cadillac,Escalade EXT,ultrices,FI08 2816 8132 7760 55,501 XKO,CA,Cadillac-Escalade EXT License #: 501 XKO,10291,4662,19733
Subaru,Forester,sem,PT40 1137 1401 5407 9470 8729 6,546 RTI,NY,Subaru-Forester License #: 546 RTI,13256,19658,9664
BMW,1 Series,duis,NO48 6946 7880 404,095 KAZ,CO,BMW-1 Series License #: 095 KAZ,11575,2930,11193
Mitsubishi,Lancer,est lacinia,MK56 691H NJTW YVXS 503,843 EQP,MN,Mitsubishi-Lancer License #: 843 EQP,2294,3915,8695
Mercedes-Benz,E-Class,id lobortis,FR53 6662 9239 06BC CNLS IFKP G62,842 FZI,FL,Mercedes-Benz-E-Class License #: 842 FZI,19261,5365,3466
Lexus,ES,et,FR81 3661 8367 40VI UMXX 8H6O T74,181 EZT,MN,Lexus-ES License #: 181 EZT,4608,14798,4102
Cadillac,SRX,leo odio,SK36 6781 2299 4784 9005 6296,855 LSP,PA,Cadillac-SRX License #: 855 LSP,7529,11256,5418
Toyota,RAV4,quis,FR38 4184 0018 45UO 3CIA 0JET B62,075 QDI,AR,Toyota-RAV4 License #: 075 QDI,19106,10418,3320
Suzuki,Reno,nisl duis,FR79 4733 5703 72LM YGFL CAHL K55,315 MSL,WI,Suzuki-Reno License #: 315 MSL,16455,10046,14656
Mazda,Mazda6 5-Door,vel pede,NO26 3692 3392 176,716 ZTJ,DC,Mazda-Mazda6 5-Door License #: 716 ZTJ,4376,10039,5468
Dodge,Caravan,at nulla,BA96 2281 2009 4501 6734,477 PMU,FL,Dodge-Caravan License #: 477 PMU,13092,4706,3496
Mercedes-Benz,W201,habitasse,KW74 HWDV O5WC HWNT MPXV EL96 UPUX IK,804 ILM,TX,Mercedes-Benz-W201 License #: 804 ILM,9968,15354,10255
Ford,E-Series,rhoncus,AL90 6105 4380 KVOG RWG3 IA1D IGUC,671 VQY,TN,Ford-E-Series License #: 671 VQY,10224,7769,12373
Saturn,VUE,interdum eu,CR05 1000 4590 2357 0880 5,044 XDE,CA,Saturn-VUE License #: 044 XDE,13005,14960,17329
Toyota,Camry Hybrid,morbi,FR62 3310 8160 449A QWC1 LZA7 I61,247 ABD,NC,Toyota-Camry Hybrid License #: 247 ABD,14182,11699,7705
Honda,Odyssey,arcu adipiscing,BA08 4853 1820 4756 4476,498 DBI,CA,Honda-Odyssey License #: 498 DBI,9722,2719,6249
Toyota,Camry,venenatis,ES27 2851 6104 1024 3113 2968,431 OVS,IL,Toyota-Camry License #: 431 OVS,3272,13172,18561
Saturn,S-Series,in magna,TN61 1543 0136 6945 7080 7560,396 NZD,CA,Saturn-S-Series License #: 396 NZD,19233,19570,2952
Ford,Flex,metus arcu,SM62 K570 2973 108K OQ9Y HMDM ZFC,840 FGH,LA,Ford-Flex License #: 840 FGH,10168,8401,14635
Toyota,4Runner,et ultrices,GE26 VU31 4456 1971 0288 76,004 VJD,NY,Toyota-4Runner License #: 004 VJD,19736,13290,16778
BMW,330,tempor turpis,IE28 YJDF 1865 3579 1405 80,148 IRA,GA,BMW-330 License #: 148 IRA,11400,7871,13568
Ford,Laser,sit,BE24 0965 7381 7557,657 MLB,CA,Ford-Laser License #: 657 MLB,4218,12747,6095
Chrysler,PT Cruiser,rutrum,MT92 KIMN 1596 0BNI VBAP 0MVH DENV KPP,848 YLD,OK,Chrysler-PT Cruiser License #: 848 YLD,4409,2610,14783
Chevrolet,Corvette,montes nascetur,LV80 GAQP WLQF CGTC K5RW S,666 VXZ,CA,Chevrolet-Corvette License #: 666 VXZ,11742,7441,17028
Mercedes-Benz,SL-Class,maecenas,VG94 JYRZ 6406 7493 7151 1827,758 YZN,CA,Mercedes-Benz-SL-Class License #: 758 YZN,7147,4877,7931
GMC,Savana 2500,cubilia,SK74 0933 2695 1424 2127 2189,996 GEN,AL,GMC-Savana 2500 License #: 996 GEN,15174,16022,10745
Toyota,Avalon,amet,MT50 OENH 7072 23EQ 5OTT 1MUC B6DW H52,736 ENY,CA,Toyota-Avalon License #: 736 ENY,16965,19645,17253
Cadillac,DeVille,massa donec,KZ56 831J OQMU 9DAK RXMX,352 USB,NM,Cadillac-DeVille License #: 352 USB,5056,3843,4245
Chevrolet,Venture,arcu,VG98 JDIH 9518 7336 7002 9260,135 IKE,TX,Chevrolet-Venture License #: 135 IKE,2052,12470,12598
Ford,Ranger,habitasse platea,PK23 XBEM S5WM M5QQ HI76 WBXU,842 FEI,AL,Ford-Ranger License #: 842 FEI,17329,9059,13620
Ford,Aerostar,augue luctus,GE87 YU90 5917 8847 6218 10,388 EBI,IA,Ford-Aerostar License #: 388 EBI,17258,10863,13520
Toyota,MR2,nisl duis,GL92 0322 4573 8501 22,564 BAP,FL,Toyota-MR2 License #: 564 BAP,14321,16956,11513
Volvo,V70,luctus,CH35 7384 5ZAR 5IPF DPXQ B,300 DXO,DC,Volvo-V70 License #: 300 DXO,16338,9423,3517
